id,paragraph_id,figure_id
92985,156213,16266
701242,86566,10289
92629,62898,8092
877021,3360589,66013
364348,3249940,55453
160241,112746,12254
545696,3492667,77060
1335600,23732082,449388
1209572,21604053,212737
368157,2845363,21705
