paper_arxiv_id,figure_id
2505.10737,205175
2506.17139,154313
2310.00724v3,535518
2410.23123v2,476323
2408.06425,837799
2507.13024,568931
2104.06689,715446
2110.02034,698766
2505.15456v1,586989
2404.11497,797296
