id,paragraph_id,table_id
783535,24026241,191462
24749,90413,4205
378680,3014745,15432
60376,209714,2053
183118,2863158,9965
370761,3058788,16898
301752,3375621,28153
589732,3426806,30117
336585,158174,6884
41631,134082,5776
