id,name,description
35627,97E40,
75215,"52-08, 52B05, 68Q25",
17,cs.LG,
7567,03D78 (Primary) 03D30 (Secondary),
15216,"68T07 (Primary), 05C60, 05C85 (Secondary)",
26122,I.5.1; I.2.6; I.6.3; J.2; J.4,
60850,H.5.2; J.6,
75890,90C29,
30290,"91B06, 91B24, 62P20, 62C20, 90B50",
5465,"I.2.6; C.1.4; D.1.3; I.5.1; H.3.4; I.2.10; I.4.0; I.4.1; I.4.2;
  I.4.6; I.4.7; I.4.8; I.4.9; I.4.10; I.5.1; I.5.2; I.5.4; J.2; I.2.11; I.2.10",
