paper_arxiv_id,table_id
2402.05375v1,208379
2503.16565,119868
2501.18055,16574
2203.16427,284862
2301.08915v3,134048
2505.05813v1,186060
2501.15758,12207
2504.13439,104389
2507.18591,234428
2502.14270,161353
