id,paragraph_id,figure_id,paper_arxiv_id,paper_section_id
92985,156213,16266,2501.01696,12860
701242,86566,10289,2508.01410,8638
92629,62898,8092,2508.00765,3001
877021,3360589,66013,2502.02942,48925
364348,3249940,55453,2502.01378,41675
160241,112746,12254,2501.00921,10092
545696,3492667,77060,2503.04219,57390
1335600,23732082,449388,2503.22517,309700
1209572,21604053,212737,2507.10132,154929
368157,2845363,21705,2501.14616,16935
