id,paragraph_id,table_id,paper_arxiv_id,paper_section_id
783535,24026241,191462,2410.22315v1,330553
24749,90413,4205,2508.01465,8834
378680,3014745,15432,2501.17387,27224
60376,209714,2053,2508.00531,1121
183118,2863158,9965,2501.17176,18029
370761,3058788,16898,2501.18179,29911
301752,3375621,28153,2502.03227,49960
589732,3426806,30117,2505.01168,53236
336585,158174,6884,2501.01717,12993
41631,134082,5776,2501.01209,11310
