id,name,description
1,cs.LG,
2,stat.ML,
3,cs.NE,
4,cs.SI,
5,cs.CL,Computation and Language (Natural Language Processing)
6,cs.AI,Artificial Intelligence
7,cs.CV,Computer Vision and Pattern Recognition
