id,paragraph_id,paper_section,citing_arxiv_id,bib_key,cited_arxiv_id,paragraph_global_id
2,4,Related Work,1810.04805v2,vaswani2017attention,1706.03762v7,
3,0,Introduction,1810.04805v2,vaswani2017attention,1706.03762v7,1.0
